filename,source_url,preview_url,label,author_claimed_count,claim_text,license,sha256,usage,production_label_eligible
freesound_437324_ice_sounds10.mp3,https://freesound.org/people/creeeeak/sounds/437324/,https://cdn.freesound.org/previews/437/437324_3160531-hq.mp3,ice_present_source_description,,ice cubes gently rolled around in a glass,CC0,D3CA1ED7EAE2E3B309C991340B15F7E9D74C75AE13D0FBF083CE7C2FD35E3957,shake_transient_probe,false
freesound_437323_ice_sounds7.mp3,https://freesound.org/people/creeeeak/sounds/437323/,https://cdn.freesound.org/previews/437/437323_3160531-hq.mp3,ice_present_source_description,,ice cubes gently rolled around in a glass,CC0,D761B6B03C18BF82127140E06F862AB3F5B9EF033D9C1F9E1287B10DFA6CB305,shake_transient_probe,false
freesound_437322_ice_sounds8.mp3,https://freesound.org/people/creeeeak/sounds/437322/,https://cdn.freesound.org/previews/437/437322_3160531-hq.mp3,ice_present_source_description,,ice cubes gently rolled around in a glass,CC0,1ADA26AF689460FA6F677CA341143585B1084D731FFB7864C2FDB58E75EEF2D8,shake_transient_probe,false
freesound_437321_ice_sounds9.mp3,https://freesound.org/people/creeeeak/sounds/437321/,https://cdn.freesound.org/previews/437/437321_3160531-hq.mp3,ice_present_source_description,,ice cubes gently rolled around in a glass,CC0,5157735DED2BF822B47558CF94AB49E73BD44DE2CD96012DD9BC2B716C9E967B,shake_transient_probe,false
freesound_436972_ice_sounds5.mp3,https://freesound.org/people/creeeeak/sounds/436972/,https://cdn.freesound.org/previews/436/436972_3160531-hq.mp3,ice_present_source_description,,ice cubes shaken in a glass jar; recorded with an SM57 or SM58,CC0,3B40F4B565B5501A3F8ED0BB4C2427EC7EEBDF1540172BE2805C1614B628AB83,shake_transient_probe,false
freesound_436971_ice_sounds6.mp3,https://freesound.org/people/creeeeak/sounds/436971/,https://cdn.freesound.org/previews/436/436971_3160531-hq.mp3,ice_present_source_description,,small ice cubes shaken in a glass jar; recorded with an SM57 or SM58,CC0,7B6DBB34836372F344E7BCD5D45F38F921191F40465BE464D8C307B8C9AE360B,shake_transient_probe,false
freesound_436970_ice_sounds.mp3,https://freesound.org/people/creeeeak/sounds/436970/,https://cdn.freesound.org/previews/436/436970_3160531-hq.mp3,ice_present_source_description,,ice-cube dropped and shaken in a glass jar,CC0,DD07F9D5A2A5E54425F4C7033457CEA8FC978D5A48A2A2631802C630B3B98D49,shake_transient_probe,false
freesound_436969_ice_sounds2.mp3,https://freesound.org/people/creeeeak/sounds/436969/,https://cdn.freesound.org/previews/436/436969_3160531-hq.mp3,ice_present_source_description,,ice-cubes dropped and stirred in glass,CC0,953D3F9A07710373AAC5D5D37D3C7B985597CE99FA516D4B818CD05ACE34ED05,shake_transient_probe,false
freesound_436968_ice_sounds3.mp3,https://freesound.org/people/creeeeak/sounds/436968/,https://cdn.freesound.org/previews/436/436968_3160531-hq.mp3,ice_present_source_description,,variety of sizes of ice-cubes dropped in a glass jar,CC0,07BEA661836A89CAA0141C1B0F4109D33656392B5B8043DB556022AF31FB204E,shake_transient_probe,false
freesound_436967_ice_sounds4.mp3,https://freesound.org/people/creeeeak/sounds/436967/,https://cdn.freesound.org/previews/436/436967_3160531-hq.mp3,ice_present_source_description,,ice-cubes dropped and shaken in glass; recorded with an SM57 or SM58,CC0,A30F624EA850355439834458C82BEA78C20C3E24A5402B8B98E194EE5A18252F,shake_transient_probe,false
